Price,Road Tax,COE Left,Mileage,OMV,COE Price,Curb Weight,No. Of Owners
92888,742,1924,85000,19890,25501,1249,0.6931471805599453
98800,1552,2198,152000,47414,32914,1615,1.6094379124341003
104888,392,2197,27000,19253,33520,1190,0.6931471805599453
38900,738,799,155000,15198,45002,1292,0.6931471805599453
149888,1194,2070,59100,43357,47000,1795,0.6931471805599453
88888,1196,1310,95800,33944,54406,1610,1.0986122886681098
136800,684,2710,40747,32653,44589,1340,0.0
280800,1200,2006,62000,74592,39401,1365,0.0
52900,508,1155,76000,18689,48000,1285,0.6931471805599453
43777,1520,610,91000,21644,71509,1780,0.6931471805599453
39900,682,761,88000,19386,55889,1190,0.6931471805599453
84800,682,2067,63000,13788,26999,1085,0.0
44800,604,884,105232,16597,46502,1650,0.0
76900,578,1827,38000,15689,31917,1030,0.6931471805599453
79800,3335,2012,140000,85295,35411,1850,1.0986122886681098
61800,1196,855,81388,27715,45009,1610,0.6931471805599453
123800,1520,769,59000,48440,55501,1760,0.6931471805599453
141800,5632,2623,115000,101821,40714,1880,1.791759469228055
87800,1212,769,69752,54597,56889,1660,1.0986122886681098
92000,2362,278,125000,85073,64889,1750,0.6931471805599453
54800,742,1097,87001,17982,47300,1205,0.6931471805599453
294800,1194,2222,16000,64854,40790,1795,0.0
78500,742,1612,92555,19724,42339,1249,0.6931471805599453
74888,1212,1313,93000,19249,53001,1540,0.6931471805599453
104800,2362,399,32000,56353,61001,1585,0.6931471805599453
148800,1194,1128,89000,62469,57903,1845,0.0
72900,578,1825,69000,15864,32699,1052,0.0
48800,1210,461,124630,34667,76889,1680,1.0986122886681098
41800,738,796,90000,14550,54301,1295,0.6931471805599453
100777,740,1670,97000,28937,38941,1435,1.0986122886681098
129777,742,2557,73000,30987,40990,1430,0.0
140800,600,3139,15700,21569,92090,1323,0.0
1558000,8250,3130,3000,310140,87000,2490,0.0
60900,738,1460,120000,12707,41761,1295,0.0
171800,1176,2709,36200,38681,47001,1695,0.6931471805599453
38800,1023,738,172372,17514,51518,1210,1.3862943611198906
56800,976,919,99900,31410,51010,1480,0.0
57500,508,1553,69888,13622,46791,1048,0.0
138800,7294,2377,155462,145162,33568,1875,1.0986122886681098
60800,624,1367,90600,20408,44002,1249,0.6931471805599453
60800,1026,1830,109000,16949,30284,1313,1.0986122886681098
53800,1467,1466,132000,17609,50451,1350,0.6931471805599453
113888,624,2225,41888,20002,36502,1270,0.6931471805599453
42800,682,915,101218,19733,47300,1190,0.6931471805599453
59800,684,852,108831,27677,46970,1425,0.6931471805599453
74000,2457,1734,185000,30686,34991,1750,1.6094379124341003
35800,1101,888,140000,11595,46077,1162,0.6931471805599453
44800,182,912,72635,20600,30889,1190,0.0
86800,1792,1188,97700,36195,46229,1615,1.0986122886681098
373800,1194,3412,5000,63547,118001,1920,0.0
323800,2362,2621,45000,68529,49300,2109,0.0
151800,1792,1524,98000,33655,57390,2020,0.0
53800,738,1098,134000,16883,51507,1295,0.0
35800,1196,429,130000,28272,74389,1610,0.6931471805599453
184800,2598,3290,121000,80163,109643,1750,1.3862943611198906
55800,604,1101,79000,14362,52751,1440,0.0
76800,1210,1341,56000,24596,47501,1626,0.0
43998,1210,794,157339,18062,55001,1535,0.0
68998,1210,1102,88533,17537,50101,1532,0.6931471805599453
124500,392,3197,36980,18410,80000,970,0.0
41888,508,917,120000,18974,46009,1285,0.0
134800,1210,1496,110831,50933,57390,1540,0.0
129555,392,2617,36560,22090,40714,1280,0.0
19900,1786,186,43914,23578,77003,1498,1.0986122886681098
