Brand,Price,Depreciation,Road Tax,Registration Date,COE Left,Mileage,Manufacture Year,Transmission,Deregistration,OMV,ARF,COE Price,Engine Capacity,Power,Curb Weight,No. Of Owners,Vehicle Type
Jaguar,101777,17030,1210,28-Jun-2018,1707,57000,2017,Auto,46011,36345,42883,33900,1998,147.0,1679,1,Luxury Sedan
Toyota,53800,18230,742,10-Mar-2016,857,101000,2015,Auto,25584,19589,19589,57301,1598,90.0,1205,1,Mid-Sized Sedan
Toyota,66800,20710,1196,27-May-2016,946,82149,2015,Auto,27770,26990,24786,49700,1986,111.0,1610,2,SUV
Mercedes-Benz,83800,13290,1364,28-Jan-2010,2287,168980,2009,Auto,24878,55074,55074,39463,1796,150.0,1650,3,Luxury Sedan
Mazda,80988,14840,682,28-Sep-2018,1497,35000,2018,Auto,22543,14479,14479,31001,1496,85.0,1067,1,Hatchback
Jaguar,126888,22530,1210,28-Feb-2018,1587,21000,2017,Auto,59119,45782,56095,47390,1997,147.0,1777,1,Luxury Sedan
Ferrari,728888,129210,3796,02-Sep-2017,1097,22000,2017,Auto,312650,266128,451031,50001,3902,493.0,1515,5,Sports Car
Toyota,97800,23340,1638,02-Dec-2016,1126,39500,2016,Auto,49380,40551,48772,56206,2362,125.0,1775,1,MPV
MINI,185800,22420,1210,07-Dec-2020,2591,25000,2020,Auto,65702,41724,50414,39500,1998,170.0,1255,2,Sports Car
Mitsubishi,54388,15920,1210,15-Aug-2016,734,51900,2016,Auto,27244,18124,18124,57508,1998,110.0,1355,1,SUV
Audi,55800,17530,624,21-Jun-2016,970,116000,2016,Auto,24734,25069,17097,53694,1395,92.0,1310,2,Luxury Sedan
Mazda,54800,17100,1210,29-Apr-2016,918,111014,2016,Auto,26022,21686,22361,49501,1998,121.0,1454,1,Luxury Sedan
Honda,17800,14570,958,30-Dec-2009,434,181000,2008,Auto,3907,24076,24076,15988,1497,88.0,1080,4,Hatchback
Toyota,136800,18540,1198,27-Mar-2020,2346,56818,2020,Auto,46450,29957,33940,32500,1987,127.0,1530,1,SUV
Toyota,45800,17000,682,25-Jan-2016,824,108000,2015,Auto,19856,18647,13647,51000,1496,80.0,1320,2,MPV
Mitsubishi,137888,17440,1210,19-Feb-2021,2683,46228,2020,Auto,48679,18961,18961,46790,1998,110.0,1480,1,SUV
Mercedes-Benz,128888,22750,740,21-May-2018,1670,59888,2018,Auto,50549,39871,47820,37010,1595,115.0,1505,1,Sports Car
Mercedes-Benz,163800,19100,586,28-May-2021,2772,40000,2019,Auto,73742,31475,36065,62100,1332,120.0,1375,1,Hatchback
Mercedes-Benz,65000,39000,740,16-Jan-2015,460,142500,2014,Auto,26627,35035,31049,75289,1595,115.0,1425,4,Luxury Sedan
BMW,53500,24440,1210,28-May-2015,582,101000,2015,Auto,27681,32378,27330,77600,1997,135.0,1365,4,Sports Car
Toyota,67800,14760,2457,14-May-2008,1673,139642,2008,Auto,17786,31076,31076,38712,2362,125.0,1750,5,MPV
Hyundai,73800,15830,600,12-Mar-2018,1611,69885,2018,Auto,24200,17622,7622,42661,1353,103.0,1240,2,Hatchback
Kia,88800,13990,738,08-Aug-2019,2103,45000,2018,Auto,26556,14420,14420,26999,1591,93.8,1287,1,Mid-Sized Sedan
Lexus,44800,22090,1792,19-Sep-2014,38,109000,2014,Auto,30450,39966,47953,68689,2494,135.0,1615,1,Luxury Sedan
